time,latitude (degree_north),longitude (degree_east),sea_water_pressure (dbar),sea_water_absolute_salinity (g kg-1),sea_water_conservative_temperature (degree_C)
2018-01-06T00:00:00Z,-80.6582833,174.4613,496.5925995614357,34.84255692520068,-1.9728122463817863
2018-01-06T00:30:00Z,-80.6582833,174.4613,496.5924784227348,34.84257542983171,-1.9728064782527024
2018-01-06T01:00:00Z,-80.6582833,174.4613,496.5923508343864,34.84259407163356,-1.972800227809339
2018-01-06T01:30:00Z,-80.6582833,174.4613,496.5922177474239,34.8426128271508,-1.9727935133821213
2018-01-06T02:00:00Z,-80.6582833,174.4613,496.5920802036836,34.84263167288677,-1.972786355318577
2018-01-06T02:30:00Z,-80.6582833,174.4613,496.5919393348612,34.84265058536141,-1.9727787759052653
2018-01-06T03:00:00Z,-80.6582833,174.4613,496.5917963611561,34.84266954116673,-1.972770799281724
2018-01-06T03:30:00Z,-80.6582833,174.4613,496.59165258950384,34.84268851701955,-1.9727624513469912
2018-01-06T04:00:00Z,-80.6582833,174.4613,496.5915094113915,34.842707489811644,-1.972753759659304
2018-01-06T04:30:00Z,-80.6582833,174.4613,496.5913683002609,34.84272643665666,-1.9727447533295928
2018-01-06T05:00:00Z,-80.6582833,174.4613,496.59123080849946,34.842745334933966,-1.972735462909461
2018-01-06T05:30:00Z,-80.6582833,174.4613,496.5910985640239,34.84276416232907,-1.972725920274307
2018-01-06T06:00:00Z,-80.6582833,174.4613,496.59097326646463,34.842782896870624,-1.972716158502343
2018-01-06T06:30:00Z,-80.6582833,174.4613,496.5908566829575,34.842801516963775,-1.9727062117502203
2018-01-06T07:00:00Z,-80.6582833,174.4613,496.5907506435539,34.84282000141993,-1.9726961151260265
2018-01-06T07:30:00Z,-80.6582833,174.4613,496.59065703626175,34.84283832948273,-1.972685904560404
2018-01-06T08:00:00Z,-80.6582833,174.4613,496.5905778017305,34.8428564808504,-1.972675616676552
2018-01-06T08:30:00Z,-80.6582833,174.4613,496.5905149275967,34.84287443569427,-1.9726652886598688
2018-01-06T09:00:00Z,-80.6582833,174.4613,496.5904704425069,34.84289217467369,-1.9726549581279824
2018-01-06T09:30:00Z,-80.6582833,174.4613,496.5904464098384,34.842909678947336,-1.9726446630019043
2018-01-06T10:00:00Z,-80.6582833,174.4613,496.590444921136,34.842926930180894,-1.9726344413790209
2018-01-06T10:30:00Z,-80.6582833,174.4613,496.5904680892913,34.84294391055136,-1.9726243314086225
2018-01-06T11:00:00Z,-80.6582833,174.4613,496.5905180414839,34.842960602748256,-1.9726143711706323
2018-01-06T11:30:00Z,-80.6582833,174.4613,496.5905969119124,34.84297698997134,-1.972604598558162
2018-01-06T12:00:00Z,-80.6582833,174.4613,496.5907068343416,34.84299305592586,-1.972595051164496
