time,latitude (degree_north),longitude (degree_east),sea_water_pressure (dbar),sea_water_absolute_salinity (g kg-1),sea_water_conservative_temperature (degree_C)
2018-01-06T00:00:00Z,-80.6582833,174.4613,617.8182489026308,34.89127525975381,-1.933679414101886
2018-01-06T00:30:00Z,-80.6582833,174.4613,617.8179819876448,34.891286025135976,-1.9337182346074808
2018-01-06T01:00:00Z,-80.6582833,174.4613,617.8176963737812,34.89129697097364,-1.9337595059311927
2018-01-06T01:30:00Z,-80.6582833,174.4613,617.8173927850995,34.89130808555059,-1.933803182371429
2018-01-06T02:00:00Z,-80.6582833,174.4613,617.8170720659667,34.891319356741555,-1.9338492074815383
2018-01-06T02:30:00Z,-80.6582833,174.4613,617.816735181046,34.89133077203962,-1.9338975140415315
2018-01-06T03:00:00Z,-80.6582833,174.4613,617.8163832147463,34.89134231858503,-1.9339480240758808
2018-01-06T03:30:00Z,-80.6582833,174.4613,617.8160173701261,34.89135398319526,-1.9340006489181547
2018-01-06T04:00:00Z,-80.6582833,174.4613,617.8156389672455,34.89136575239644,-1.934055289323
2018-01-06T04:30:00Z,-80.6582833,174.4613,617.8152494409637,34.89137761245605,-1.9341118356257816
2018-01-06T05:00:00Z,-80.6582833,174.4613,617.8148503381842,34.89138954941674,-1.9341701679499808
2018-01-06T05:30:00Z,-80.6582833,174.4613,617.8144433145466,34.891401549131324,-1.9342301564622075
2018-01-06T06:00:00Z,-80.6582833,174.4613,617.8140301305746,34.891413597298865,-1.93429166167448
2018-01-06T06:30:00Z,-80.6582833,174.4613,617.8136126472853,34.891425679501715,-1.9343545347932
2018-01-06T07:00:00Z,-80.6582833,174.4613,617.8131928212708,34.89143778124359,-1.93441861811401
2018-01-06T07:30:00Z,-80.6582833,174.4613,617.8127726992668,34.89144988798841,-1.9344837454615005
2018-01-06T08:00:00Z,-80.6582833,174.4613,617.812354412222,34.89146198520001,-1.934549742672533
2018-01-06T08:30:00Z,-80.6582833,174.4613,617.8119401688878,34.89147405838247,-1.934616428121705
2018-01-06T09:00:00Z,-80.6582833,174.4613,617.8115322489509,34.89148609312117,-1.934683613287268
2018-01-06T09:30:00Z,-80.6582833,174.4613,617.811132995727,34.891498075124254,-1.9347511033556195
2018-01-06T10:00:00Z,-80.6582833,174.4613,617.8107448084471,34.89150999026457,-1.9348186978622672
2018-01-06T10:30:00Z,-80.6582833,174.4613,617.8103701341595,34.89152182462192,-1.9348861913669813
2018-01-06T11:00:00Z,-80.6582833,174.4613,617.8100114592808,34.89153356452551,-1.9349533741606624
2018-01-06T11:30:00Z,-80.6582833,174.4613,617.8096713008257,34.891545196596525,-1.9350200330012697
2018-01-06T12:00:00Z,-80.6582833,174.4613,617.8093521973497,34.89155670779057,-1.935085951876
