time,latitude (degree_north),longitude (degree_east),sea_water_pressure (dbar),sea_water_absolute_salinity (g kg-1),sea_water_conservative_temperature (degree_C)
2018-01-06 00:00:00+00:00,-80.6582833,174.4613,,,-2.090625369191855
2018-01-06 00:30:00+00:00,-80.6582833,174.4613,,,-2.090400057628548
2018-01-06 01:00:00+00:00,-80.6582833,174.4613,,,-2.090174801391959
2018-01-06 01:30:00+00:00,-80.6582833,174.4613,,,-2.089950249248549
2018-01-06 02:00:00+00:00,-80.6582833,174.4613,,,-2.0897270467642377
2018-01-06 02:30:00+00:00,-80.6582833,174.4613,,,-2.08950583320045
2018-01-06 03:00:00+00:00,-80.6582833,174.4613,,,-2.089287238403836
2018-01-06 03:30:00+00:00,-80.6582833,174.4613,,,-2.089071879704501
2018-01-06 04:00:00+00:00,-80.6582833,174.4613,,,-2.0888603588376977
2018-01-06 04:30:00+00:00,-80.6582833,174.4613,,,-2.0886532589039737
2018-01-06 05:00:00+00:00,-80.6582833,174.4613,,,-2.088451141382772
2018-01-06 05:30:00+00:00,-80.6582833,174.4613,,,-2.088254543214409
2018-01-06 06:00:00+00:00,-80.6582833,174.4613,,,-2.08806397396517
2018-01-06 06:30:00+00:00,-80.6582833,174.4613,,,-2.087879913090047
2018-01-06 07:00:00+00:00,-80.6582833,174.4613,,,-2.087702807307343
2018-01-06 07:30:00+00:00,-80.6582833,174.4613,,,-2.087533068098957
2018-01-06 08:00:00+00:00,-80.6582833,174.4613,,,-2.0873710693497776
2018-01-06 08:30:00+00:00,-80.6582833,174.4613,,,-2.0872171451390504
2018-01-06 09:00:00+00:00,-80.6582833,174.4613,,,-2.087071587696018
2018-01-06 09:30:00+00:00,-80.6582833,174.4613,,,-2.0869346455314863
2018-01-06 10:00:00+00:00,-80.6582833,174.4613,,,-2.086806521756275
2018-01-06 10:30:00+00:00,-80.6582833,174.4613,,,-2.0866873725967467
2018-01-06 11:00:00+00:00,-80.6582833,174.4613,,,-2.08657730611675
2018-01-06 11:30:00+00:00,-80.6582833,174.4613,,,-2.086476381154446
2018-01-06 12:00:00+00:00,-80.6582833,174.4613,,,-2.086384606481587
2018-01-06 12:30:00+00:00,-80.6582833,174.4613,,,-2.086301940191807
2018-01-06 13:00:00+00:00,-80.6582833,174.4613,,,-2.086228289323526
2018-01-06 13:30:00+00:00,-80.6582833,174.4613,,,-2.086163509721975
2018-01-06 14:00:00+00:00,-80.6582833,174.4613,,,-2.086107406143799
2018-01-06 14:30:00+00:00,-80.6582833,174.4613,,,-2.08605973260658
2018-01-06 15:00:00+00:00,-80.6582833,174.4613,,,-2.086020192984479
2018-01-06 15:30:00+00:00,-80.6582833,174.4613,,,-2.0859884418500565
2018-01-06 16:00:00+00:00,-80.6582833,174.4613,,,-2.08596408556117
2018-01-06 16:30:00+00:00,-80.6582833,174.4613,,,-2.0859466835906755
2018-01-06 17:00:00+00:00,-80.6582833,174.4613,,,-2.085935750095505
2018-01-06 17:30:00+00:00,-80.6582833,174.4613,,,-2.085930755720523
2018-01-06 18:00:00+00:00,-80.6582833,174.4613,,,-2.0859311296314256
2018-01-06 18:30:00+00:00,-80.6582833,174.4613,,,-2.085936261769777
2018-01-06 19:00:00+00:00,-80.6582833,174.4613,,,-2.085945505322191
2018-01-06 19:30:00+00:00,-80.6582833,174.4613,,,-2.0859581793945594
2018-01-06 20:00:00+00:00,-80.6582833,174.4613,,,-2.085973571881179
2018-01-06 20:30:00+00:00,-80.6582833,174.4613,,,-2.085990942517563
2018-01-06 21:00:00+00:00,-80.6582833,174.4613,,,-2.086009526104803
2018-01-06 21:30:00+00:00,-80.6582833,174.4613,,,-2.086028535892371
2018-01-06 22:00:00+00:00,-80.6582833,174.4613,,,-2.0860471671053795
2018-01-06 22:30:00+00:00,-80.6582833,174.4613,,,-2.0860646006014933
2018-01-06 23:00:00+00:00,-80.6582833,174.4613,,,-2.086080006641898
2018-01-06 23:30:00+00:00,-80.6582833,174.4613,,,-2.086092548760057
