time,latitude (degree_north),longitude (degree_east),sea_water_pressure (dbar),sea_water_absolute_salinity (g kg-1),sea_water_conservative_temperature (degree_C)
2018-01-06T00:00:00Z,-80.6582833,174.4613,328.37274793785195,34.60573000711747,-2.1297507005098915
2018-01-06T00:30:00Z,-80.6582833,174.4613,328.3724770797439,34.60613984357633,-2.1297607049849927
2018-01-06T01:00:00Z,-80.6582833,174.4613,328.37219769024443,34.60654061153027,-2.1297699015399667
2018-01-06T01:30:00Z,-80.6582833,174.4613,328.37191083235456,34.606931285016294,-2.1297782563562624
2018-01-06T02:00:00Z,-80.6582833,174.4613,328.3716176582187,34.6073108622294,-2.129785738017514
2018-01-06T02:30:00Z,-80.6582833,174.4613,328.37131940776754,34.60767836886485,-2.129792317631799
2018-01-06T03:00:00Z,-80.6582833,174.4613,328.371017406969,34.608032861348484,-2.129797968944276
2018-01-06T03:30:00Z,-80.6582833,174.4613,328.3707130656873,34.608373429942205,-2.12980266843972
2018-01-06T04:00:00Z,-80.6582833,174.4613,328.3704078751499,34.608699201712696,-2.129806395434473
2018-01-06T04:30:00Z,-80.6582833,174.4613,328.37010340502445,34.609009343351715,-2.1298091321574013
2018-01-06T05:00:00Z,-80.6582833,174.4613,328.36980130010977,34.609303063837494,-2.1298108638194773
2018-01-06T05:30:00Z,-80.6582833,174.4613,328.3695032766481,34.60957961692719,-2.129811578671685
2018-01-06T06:00:00Z,-80.6582833,174.4613,328.3692111182634,34.609838303471605,-2.129811268050952
2018-01-06T06:30:00Z,-80.6582833,174.4613,328.3689266715371,34.61007847354368,-2.129809926413912
2018-01-06T07:00:00Z,-80.6582833,174.4613,328.36865184123127,34.610299528374064,-2.1298075513583137
2018-01-06T07:30:00Z,-80.6582833,174.4613,328.36838858517245,34.6105009220868,-2.1298041436319863
2018-01-06T08:00:00Z,-80.6582833,174.4613,328.3681389088096,34.61068216323051,-2.1297997071292856
2018-01-06T08:30:00Z,-80.6582833,174.4613,328.3679048594623,34.61084281610027,-2.129794248875044
2018-01-06T09:00:00Z,-80.6582833,174.4613,328.3676885202782,34.61098250184702,-2.1297877789960644
2018-01-06T09:30:00Z,-80.6582833,174.4613,328.36749200391563,34.611100899372275,-2.1297803106802817
2018-01-06T10:00:00Z,-80.6582833,174.4613,328.3673174459749,34.61119774600674,-2.129771860123758
2018-01-06T10:30:00Z,-80.6582833,174.4613,328.3671669981983,34.61127283797242,-2.1297624464657297
2018-01-06T11:00:00Z,-80.6582833,174.4613,328.3670428214625,34.61132603062924,-2.129752091711997
2018-01-06T11:30:00Z,-80.6582833,174.4613,328.3669470785882,34.6113572385075,-2.129740820646974
2018-01-06T12:00:00Z,-80.6582833,174.4613,328.3668819269909,34.61136643512904,-2.1297286607347896
2018-01-06T12:30:00Z,-80.6582833,174.4613,328.3668495112012,34.61135365262058,-2.129715642009871
